num,pin,reg_addr,reg_val
1,3V3,0xFFFFFFFF,0x00000000
2,5V,0xFFFFFFFF,0x00000000
3,GPIO48,0x112C00A0,0x00001100
4,5V,0xFFFFFFFF,0x00000000
5,GPIO49,0x112C00A4,0x00001100
6,GND,0xFFFFFFFF,0x00000000
7,GPIO71,0x112C0048,0x00001140
8,GPIO60,0x112C0078,0x00001120
9,GND,0xFFFFFFFF,0x00000000
10,GPIO61,0x112C007C,0x00001120
11,GPIO70,0x112C0050,0x00001120
12,GPIO69,0x112C004C,0x00001120
13,GPIO68,0x112C0054,0x00001120
14,GND,0xFFFFFFFF,0x00000000
15,GPIO52,0x112C0074,0x00001160
16,GPIO53,0x112C0070,0x00001120
17,3V3,0xFFFFFFFF,0x00000000
18,GPIO54,0x112C006C,0x00001120
19,GPIO15,0x120C001C,0x00001102
20,GND,0xFFFFFFFF,0x00000000
21,GPIO14,0x120C0010,0x00001102
22,GPIO55,0x112C0068,0x00001120
23,GPIO13,0x120C0014,0x00001102
24,GPIO12,0x120C0010,0x00001102
25,GND,0xFFFFFFFF,0x00000000
26,GPIO16,0x120C0020,0x00001102
27,GPIO56,0x112C0058,0x00001120
28,GPIO57,0x112C005C,0x00001120
29,GPIO58,0x112C0060,0x00001120
30,GND,0xFFFFFFFF,0x00000000
31,GPIO59,0x112C0064,0x00001120
32,GPIO0,0x100C0008,0x00001100
33,GPIO9,0x120C0004,0x00001100
34,GND,0xFFFFFFFF,0x00000000
35,ACOUT_L,0xFFFFFFFF,0x00000000
36,ACOUT_R,0xFFFFFFFF,0x00000000
37,ACIN_L,0xFFFFFFFF,0x00000000
38,ACMICBIAS,0xFFFFFFFF,0x00000000
39,GND,0xFFFFFFFF,0x00000000
40,ACIN_R,0xFFFFFFFF,0x00000000
