Channel,GF,"Channel name
"
1,2.079,A02TP-1A
2,2.079,A02TP-1B
3,2.074,A02TP-2A
4,2.074,A02TP-2B
5,2.074,A02TP-3A
6,2.074,A02TP-3B
7,2.079,A02TP-4A
8,2.079,A02TP-4B
9,2.097,A02S-1RA
10,2.086,A02S-1RB
11,2.086,A02S-1RC
12,2.086,A02S-1RD
13,2.097,A02S-1LA
14,2.086,A02S-1LB
15,2.086,A02S-1LC
16,2.086,A02S-1LD
17,2.094,A02S-2RA
18,2.083,A02S-2RB
19,2.083,A02S-2RC
20,2.083,A02S-2RD
21,2.094,A02S-2LA
22,2.083,A02S-2LB
23,2.083,A02S-2LC
24,2.083,A02S-2LD
25,2.091,A02S-3RA
26,2.08,A02S-3RB
27,2.08,A02S-3RC
28,2.08,A02S-3RD
29,2.091,A02S-3LA
30,2.08,A02S-3LB
31,2.08,A02S-3LC
32,2.08,A02S-3LD
33,2.091,A02S-4RA
34,2.08,A02S-4RB
35,2.08,A02S-4RC
36,2.08,A02S-4RD
37,2.091,A02S-4LA
38,2.08,A02S-4LB
39,2.08,A02S-4LC
40,2.08,A02S-4LD
41,2.094,A02S-5RA
42,2.083,A02S-5RB
43,2.083,A02S-5RC
44,2.083,A02S-5RD
45,2.094,A02S-5LA
46,2.083,A02S-5LB
47,2.083,A02S-5LC
48,2.083,A02S-5LD
49,2.097,A02S-6RA
50,2.086,A02S-6RB
51,2.086,A02S-6RC
52,2.086,A02S-6RD
53,2.097,A02S-6LA
54,2.086,A02S-6LB
55,2.086,A02S-6LC
56,2.086,A02S-6LD
